bangla_speech,english_speech,dialect
সোহাগ নামের একটা ছেড়া আসিল,Had a son named Sohag,Mymensingh
সোহাগ নামে ইজ্ঞা হোলা আছিলো,Had a son named Sohag,Noakhali
সোহাগ নাম ওর একগু ফুয়া আছিল,Had a son named Sohag,Sylhet
কবে যে মোর স্বপ্নডা পুরোন হইবে,When will my dream come true?,Barishal 
এরফর অইতে ইতারা দুইজন সব্জি বাগানত যায় এরে ফেট বরি হানা হাইতো,"From then on, they both went to the vegetable garden and ate their fill",Chittagong
এরপর থাইক্কা হেরা দুইজনই সবজি বাগানে গিয়া পেট ভইরা খাওন খাইত,"From then on, they both went to the vegetable garden and ate their fill",Mymensingh
এরহর তুন হেতেরা দোনোগা সবজি বাগানে যাই হেড ভৌরি খানা খাইতো,"From then on, they both went to the vegetable garden and ate their fill",Noakhali
এর বাদে তাকি তারা দুইজন ওউ সবজি বাগান-ও গিয়া পেট ভরিয়া খাইতো,"From then on, they both went to the vegetable garden and ate their fill",Sylhet
হে শ্যলেত দিআ মর লগে দেহা কর্তে আইসেলে,He came to meet me from Sylhet,Barishal 
হত্তে যে আঁর সফ্ন আন ফুরন অইবো,When will my dream come true?,Chittagong
কবে যে আমার স্বপ্নডা পূরণ হইব,When will my dream come true?,Mymensingh
কোনদিন যে আর স্বপ্নগা পূরন অইব,When will my dream come true?,Noakhali
কুনদিন যে আমার স্বপ্নটা পুরণ অইতো,When will my dream come true?,Sylhet
কিরকেট খ্যালা তোমার ক্যামন লাগে?,How do you like playing cricket?,Barishal 
ইতে সিলেটত্তুন আঁর ফোয়ারে দেহা গইরতো আইস্যে,He came to meet me from Sylhet,Chittagong
সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,He came to meet me from Sylhet,Mymensingh
হেয় শীলোট তুন আর লগে দেয়া কইত্তে আইছিল,He came to meet me from Sylhet,Noakhali
হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,He came to meet me from Sylhet,Sylhet
তুই কি পড়াল্যাহা ছাইড়া দেতে চাও?,Do you want to quit studying?,Barishal 
ক্রিকেট কেলা তোঁয়ারত্তুন কেন লাগে?,How do you like playing cricket?,Chittagong
ক্রিকেট খেলা তোমার কেমন লাগে?,How do you like playing cricket?,Mymensingh
ক্রিকেট খেলা তোয়ার কেইকান লাগে,How do you like playing cricket?,Noakhali
তুমিতাইন ওর ক্রিকেট খেলা কিলা লাগে?,How do you like playing cricket?,Sylhet
পোস্ট ভালো না লাগলে এড়াইয়া যান,Skip the post if you don't like it,Barishal 
তুই কি ফরালেহা চারি দিতো চস নিকি,Do you want to quit studying?,Chittagong
তুই কি পড়ালেহা ছাইরা দিতে চাস?,Do you want to quit studying?,Mymensingh
তুই কি হরালেয়া ছাড়দিয়া লাইতো চাস ?,Do you want to quit studying?,Noakhali
তুই কিতা পড়ালেখা ছাড়িত্তে নি?,Do you want to quit studying?,Sylhet
মুই তো ভাবছেলাম হাউরি আম্মা মোর লইজ্ঞা রাইন্দা পাডাইছে,I thought my mother-in-law had cooked for me,Barishal 
ফোস্ট গম না লাগিলে চলি যো গয়,Skip the post if you don't like it,Chittagong
পোস্ট ভালা না লাগলে এড়ায়া যান,Skip the post if you don't like it,Mymensingh
পোস্ট ভালা না লাইগলে এড়াই যান,Skip the post if you don't like it,Noakhali
পোস্ট ভালা না লাগলে এড়াইয়া যাউকা,Skip the post if you don't like it,Sylhet
উশ্যি বেবাক ধরনের মাডিতেই চাষ করা যায়,Beans can be grown in all types of soil,Barishal 
আই তো ভাইব্বি দে শাশুড়ি আম্মা আর লাই রাধিয়েরে ফাটাইয়ে,I thought my mother-in-law had cooked for me,Chittagong
আমি তো ভাবলাম শাশুড়ি আম্মা আমার লাইজ্ঞা রাইন্দা পাঠাইসেন,I thought my mother-in-law had cooked for me,Mymensingh
আই তো মনে কইরছি শাশুড়ি আম্মা আর লাই রাঁধি হাডাইছে,I thought my mother-in-law had cooked for me,Noakhali
আমি তো ভাবিয়ার হরি আম্মায় আমার লাগি রান্দিয়া পাঠাইছইন,I thought my mother-in-law had cooked for me,Sylhet
কোন কিছুই এক্কালে সহজে হারাইয়া যায় না,Nothing is lost so easily,Barishal 
ইয়ার ফোরও রতিকান ইন্তেকাল মাইশেরে হস্ট দে,Yet every death hurts people,Chittagong
তবু প্রতিডা মৃত্যু মানুষরে কষ্ট দেয়,Yet every death hurts people,Mymensingh
তার হরেও হইত্তেকটা মৃত্যু মানুষরে কষ্ট দেয়,Yet every death hurts people,Noakhali
তেও সব মরণ এউ মাইনষরে কষ্ট দেয়,Yet every death hurts people,Sylhet
মোর ম্যালা খারাপ লাগছে,I feel very bad,Barishal 
হনোকিচুই সহজে আযি ন যাগই,Nothing is lost so easily,Chittagong
কোন কিছুই খুব সহজে হারিয়ে যায় না,Nothing is lost so easily,Mymensingh
 কোনো কিচ্ছু এতো সহজে আঁজি যায় না,Nothing is lost so easily,Noakhali
কুন্তাউ ওতো সহজে হারাই যায় না,Nothing is lost so easily,Sylhet
মুই ঢাকার মিরপুরে থাহি,"I live in Mirpur, Dhaka",Barishal 
য়ার বেশি হারাপ লাগের,I feel very bad,Chittagong
আমার মেলা খারাপ লাগসে,I feel very bad,Mymensingh
আর অনেক খারাপ লাইগছে,I feel very bad,Noakhali
আমার বউত খারাপ লাগের,I feel very bad,Sylhet
তোমাগো পরিক্ষা কবে?,When is your exam?,Barishal 
আঁই ডাহার মিরফুর তাকি,"I live in Mirpur, Dhaka",Chittagong
আমি ঢাকার মিরপুরে থাহি,"I live in Mirpur, Dhaka",Mymensingh
আই ঢাকার মিরফুরে থাই,"I live in Mirpur, Dhaka",Noakhali
আমি ঢাকার মিরপুর-ও থাকি,"I live in Mirpur, Dhaka",Sylhet
যাই হোক মায়ের ধারে ম্যালা কিছু পাওনের থাকলেও আমনে তেমন কিছু পান নাই,"In any case, mother has got a lot but you haven't got much",Barishal 
তোঁয়ারার ফরিক্কা হত্তে,When is your exam?,Chittagong
তোমরার পরীক্ষা কবে ?,When is your exam?,Mymensingh
তোংগোর হরীক্কা কবে,When is your exam?,Noakhali
তোমরার পরীক্ষা কবে? ,When is your exam?,Sylhet
গ্যাছেকাইল রাইতে মোরে কইয়া দেলে মুই বোলে বেইমান,Last night he told me that I was dishonest,Barishal 
বুই বেলাত দাইল ভাত হাইয়েরে নিজের ডইল্লে তন বহুত ভালা,It is better to be alone like yourself after two meals of dal bhat,Chittagong
দুই বেলা ডাল ভাত খায়া নিজের মত একলা থাহা মেলা ভালা,It is better to be alone like yourself after two meals of dal bhat,Mymensingh
দুই বেলা ডাল ভাত খাই নিজের মত একা থান অনেক ভালা,It is better to be alone like yourself after two meals of dal bhat,Noakhali
দুইবেলা ডাইল ভাত খাইয়া নিজর মত এখলা থাকা অনেখ ভালা ,It is better to be alone like yourself after two meals of dal bhat,Sylhet
তয় পোলাডা হঠাৎ কইরা মাইয়াডারে না কইয়া দেশের বাইরে চইল্যা যায়,But the boy suddenly left the country without informing the young lady,Barishal 
আই অসুস্থ আরে একবারও জিজ্ঞেস নো গরে আই কেন আসি,I'm sick not once does Jigges ask me how I am,Chittagong
আমি অসুস্থ আমারে একবারও জিগ্গেস করেনা আমি কেমন আসি,I'm sick not once does Jigges ask me how I am,Mymensingh
আই অসুস্থ আরে ওকগাবারও জিজ্ঞায় না আই কেরুম আছি,I'm sick not once does Jigges ask me how I am,Noakhali
মুই বেমার মোরে এখবারো জিগাইছে না আমি কিলান আছি,I'm sick not once does Jigges ask me how I am,Sylhet
মায় খালা পড়াল্যাহার লইজ্ঞা ঢাহায় ফেরতে কইবে মুই যাইতে পারমু না,"My aunt will tell me to return to Dhaka for education, I can't go",Barishal 
কিন্তু ফোয়া অটাথ গরি মাইফোয়ারে ন জানাই বিদেশ গেয়্যুয়,But the boy suddenly left the country without informing the young lady,Chittagong
কিন্তু ছেড়া হঠাৎ কইরা ছেড়িরে না জানায়া দেশের বাইরে চইলা যায়,But the boy suddenly left the country without informing the young lady,Mymensingh
কিন্তু ফোলা হঠাৎ করি মাইয়ারে না জানাই বাইরে চলি গেছে,But the boy suddenly left the country without informing the young lady,Noakhali
 কিন্তুক ফুয়া আখতা ফুড়িরে কুনতা না জানাইয়া দেশর বাইরে গেছে গি,But the boy suddenly left the country without informing the young lady,Sylhet
তয় পোলাডা বেমালা ভালো মানু কোনো নেশা নাই,But the boy is a very good person and has no addiction,Barishal 
আর হালার বাসাত যন কি ঠিক অইবনা,Will it be okay to go back to my aunt's house?,Chittagong
আমার খালার বাসাতে ফিরা কি ঠিক হইব,Will it be okay to go back to my aunt's house?,Mymensingh
আর খালার বাসাত হেরা কি ঠিক অইবো,Will it be okay to go back to my aunt's house?,Noakhali
মোর মইর বাসাত ফিরা কিতা ঠিক অইবো নি,Will it be okay to go back to my aunt's house?,Sylhet
মুই আইজ বেইন্নাকালে চা খাইনাই,I didn't have tea this morning,Barishal 
আর বন্ধুত্ব ছাড়া অন্য কিছুর ইচ্ছা নো আসিল,I wanted nothing but friendship,Chittagong
আমার বন্ধুত্ব ছাড়া অন্য কিসুর ইচ্ছা আসিল না,I wanted nothing but friendship,Mymensingh
আর বন্ধুত্ব ছাড়া অন্য কিছুর ইচ্ছা আছিলো না,I wanted nothing but friendship,Noakhali
মোর বন্ধুত্ব ছাড়া আর কিচ্ছুর ইচ্ছা আছিল না,I wanted nothing but friendship,Sylhet
হেইহানের পানি টলটইল্লা,The water there is shaky,Barishal 
আঁই আযিয়া বেইন্না চা না হাই,I didn't have tea this morning,Chittagong
আমি আইজকে সহালে চা যাই ,I didn't have tea this morning,Mymensingh
আই আইজগা সকালে চা খাই নো,I didn't have tea this morning,Noakhali
আমি আইজ সকাইলকু চা খাইছি না,I didn't have tea this morning,Sylhet
সহজ ভাষায় কতা কওয়া উচিত,Should speak in simple language,Barishal 
ইয়ানোর ফানি টলটল,The water there is shaky,Chittagong
ওইহানকার পানি টলটলে,The water there is shaky,Mymensingh
হিয়ানকার হানি টলটলে,The water there is shaky,Noakhali
হনোর পানি টলটলে,The water there is shaky,Sylhet
এই মন আইজ তোমারে দিলাম,I gave you this mind today,Barishal 
সহয বাসাত হতা হওয়া উচিত,Should speak in simple language,Chittagong
সহজ ভাষায় কথা কওন উচিত,Should speak in simple language,Mymensingh
সোজা ভাষায় কতা  কন উচিত,Should speak in simple language,Noakhali
সহজ ভাষায় মাতা উচিত,Should speak in simple language,Sylhet
হ্যায় চেইত্যা গ্যাল্লেহ,He was angry,Barishal 
এই মন আজিয়া আঁই তোয়াঁরে দিলাম,I gave you this mind today,Chittagong
এই মন আইজ তোমারে দিলাম,I gave you this mind today,Mymensingh
এই মন দা তোরে দি দিলাম,I gave you this mind today,Noakhali
অউ মন আজকে তুমারে দিলাম,I gave you this mind today,Sylhet
এরহম ব্যাডার লগে সংসার যায় না,You can't get along with such men,Barishal 
ইবা রাগি গেল গয়,He was angry,Chittagong
তিনি রাইজ্ঞা গেসিলেন,He was angry,Mymensingh
হেতে চেতি গেছিলেন,He was angry,Noakhali
তাইন রাগি গেছলা,He was angry,Sylhet
মোর জামাই আর হ্যার বাড়ির মানু মোডেও রাজি না,My husband and his family do not agree at all,Barishal 
এরিিম্মা ফুরুসের লাই গর গরা নো যা,You can't get along with such men,Chittagong
এমন বেডারার লগে সংসার যায় না,You can't get along with such men,Mymensingh
এরুমনা বেডা গো লগে সংসার করন যায় না,You can't get along with such men,Noakhali
ওলা বেটাইন্তোর লগে সংসার করা যায় না,You can't get along with such men,Sylhet
মুই মোর গেরামের বাড়ি যামু ঠিক করছি,I decided to go home to my village,Barishal 
বাফোর হজহবর রাহিবার চেষ্টা গরি সব সমত,I always try to keep track of my father,Chittagong
আব্বার খোঁজখবর রাখার চেষ্টা করি বেগ সময়,I always try to keep track of my father,Mymensingh
বাপের খোঁজখবর লনের চেষ্টা করি বেক সময়,I always try to keep track of my father,Noakhali
আব্বার খোঁজখবর রাখার চেষ্টা খরি হখলসময়,I always try to keep track of my father,Sylhet
মোরদারে মোডেও ভালো লাগেনা,I don't like it at all,Barishal 
আঁই আঁর গ্রামর বারিত যাইয়্যুম টিক গইরগি,I decided to go home to my village,Chittagong
আমি আমার গ্রামের বাড়ি যায়াম ঠিক করসি ,I decided to go home to my village,Mymensingh
আই আর গ্রামের বাড়ি যাইয়ুম ঠিক কইচ্ছি,I decided to go home to my village,Noakhali
আমি আমার গ্রাম ওর বাড়ি যাইমু ঠিক করছি,I decided to go home to my village,Sylhet
মোর বিয়া হইছে ১ মাস,I have been married for 1 month,Barishal 
আঁর এফফোডাও গম ন লার,I don't like it at all,Chittagong
আমার একদমই ভালা লাগে না,I don't like it at all,Mymensingh
অর একছের ভালা লাগে না ,I don't like it at all,Noakhali
আমার একবারেউ বালা লাগের না,I don't like it at all,Sylhet
তোমাগো লইজ্ঞা কিছু করতে তো পারলামি না উলডা পরিবারডা শেষ করলাম,"I could not do anything for you, on the contrary I ended the family",Barishal 
আর বিয়া অইয়ে ১ মাস,I have been married for 1 month,Chittagong
আমার বিয়া হইসে ১ মাস,I have been married for 1 month,Mymensingh
আর বিয়া অইছে ১ মাস,I have been married for 1 month,Noakhali
মোর বিয়া অইছে ১ মাস ,I have been married for 1 month,Sylhet
গেরাম গোনে শহরে আওয়ার কালে ম্যালা গুলা ছোলোম কিন্যা আনবা।,"When coming from the village to the city, buy a lot of grapefruit",Barishal 
তোঁয়ারার লাই তো কিচু গরিত্ ন পারি উল্ডা ফরিবারগানেরে শেষ গইরগি,"I could not do anything for you, on the contrary I ended the family",Chittagong
তোমরার লাইজ্ঞা কিসু করতাম তো ফারলামই না উলডা পরিবাররে শেষ করলাম,"I could not do anything for you, on the contrary I ended the family",Mymensingh
তোংগোর লাই তো কিছু কইরতাম এ হাইরলাম এ না উল্ডা হরিবার আনরে শেষ কইরলাম,"I could not do anything for you, on the contrary I ended the family",Noakhali
"তোমরার লাগি কুন্তা তো করতেউ ফারলাম না, উলটা পরিবাররে শেষ করলাম","I could not do anything for you, on the contrary I ended the family",Sylhet
তমারে মুই কল্ দিমুনা,I will not call you,Barishal 
গ্রামেত্তুন শহরত আইতে সমত বহুত জাম্বুরা কিনি আনিবান,"When coming from the village to the city, buy a lot of grapefruit",Chittagong
গ্রাম থাইক্কা শহরে আওনের সময় মেলা জাম্বুরা কিন্না আনবা,"When coming from the village to the city, buy a lot of grapefruit",Mymensingh
গেরামের তুন শহরে আইবার সুমে জাম্বুরা কিনি আইনবা,"When coming from the village to the city, buy a lot of grapefruit",Noakhali
গাউ থাকি শহরো আওয়ার সময় বাক্কা কিছু মাতু কিনিয়া আনমু,"When coming from the village to the city, buy a lot of grapefruit",Sylhet
মোর মন খারাপ,I'm upset,Barishal 
তোঁয়ারে আঁই কল ন দিয়ুম,I will not call you,Chittagong
তোমারে আমি কল দিতাম না,I will not call you,Mymensingh
আন্নেরে আই কল দিমু না,I will not call you,Noakhali
আমি তুমারে কল দিতাম নায় ,I will not call you,Sylhet
হ্যার পরিবার মোডেও এই বিয়ায় রাজি না,His family does not agree to this marriage,Barishal 
আঁর মন হারাফ,I'm upset,Chittagong
আমার মন খারাপ,I'm upset,Mymensingh
আর মন মেলা খারাপ,I'm upset,Noakhali
মোর মন খারাফ,I'm upset,Sylhet
মোগো আর হ্যাগো সময় তো আর এক না,Our time and theirs are not the same,Barishal 
ডিসেম্বর মাসত আর হতা হইয়ে তার বাসাত,In December she told her family about me,Chittagong
ডিসেম্বর মাসে হেয় হের পরিবাররে জানায় আমার কথা,In December she told her family about me,Mymensingh
ডিসেম্বর মাসে হেতে হেতের হরিবাররে জানায় আর কতা,In December she told her family about me,Noakhali
ডিসেম্বর মাসো তাইন তান পরিবাররে জানাইছলা মোর খতা,In December she told her family about me,Sylhet
উডান গোনে কথা কইয়া হ্যায় চইল্যা গেলো,He left after speaking from the courtyard,Barishal 
"ইবে দে আমলের কতা হর, ইবি নিজে কি গরজ্জী দে",Give examples of what he has done,Chittagong
হের আমলের উদাহরণ দেন হেয় কিতা করসেন,Give examples of what he has done,Mymensingh
হেতনের আমলের উদাহরণ দেন হেতনে কি কইরছেন,Give examples of what he has done,Noakhali
তানর আমলি উদাহরণ দেইন তাইন কিতা খরছিলা,Give examples of what he has done,Sylhet
এউক্কা বিলোই দুয়ারের সামনে বইয়া রইছে,A cat is sitting in front of the door,Barishal 
উঠানোর তুন হতা কইয়েরে উবা গিয়োয়,He left after speaking from the courtyard,Chittagong
উঠান থাইক্কা কথা কয়া তিরি চইল্লা গেলেন,He left after speaking from the courtyard,Mymensingh
উডানের তুন কতা কই হেতেন চলি গেছে,He left after speaking from the courtyard,Noakhali
উঠান থাকি মাথিয়া বলে তাইন গেছইন গি,He left after speaking from the courtyard,Sylhet
আমনেরে দেইখ্যা অসুস্থ্য বইললা মনে হইতেয়াছে,You look sick,Barishal 
এইজ্ঞো বিড়াল দরজাত বোই আছে,A cat is sitting in front of the door,Chittagong
একটা বিলাই দরজার সামনে বয়া আসে,A cat is sitting in front of the door,Mymensingh
ওকগা বিলাই দরজার সামনে বই আছে,A cat is sitting in front of the door,Noakhali
একগু বিলাই দরজার ধারো বই রইছে,A cat is sitting in front of the door,Sylhet
ঘরের জিনিসপাতি থুইয়াদেওয়ার লইজ্ঞা উগোইর দরকার,A storeroom is needed to keep the furniture of the house,Barishal 
ইবা আর বউ,she is my wife,Chittagong
হেয় আমার বউ,she is my wife,Mymensingh
হেতি আর বৌ,she is my wife,Noakhali
তাই আমার বউ,she is my wife,Sylhet
এককালে হয়তো এই পিরথিবির মায়া কাডাইয়া চইলা যামু পরপারে,One day maybe I will pass the magic of the world and go to the other side,Barishal 
ঘরর জিনিশফত্র রাকিবেল্লাই স্টোররুম দরহার,A storeroom is needed to keep the furniture of the house,Chittagong
ঘরের আসবাবপত্র রাইক্ষা দেওনের লাইজ্ঞা স্টোররুম দরকার,A storeroom is needed to keep the furniture of the house,Mymensingh
ঘরের থালাবাডি থুইবার লাই স্টোর রুম দরকার ,A storeroom is needed to keep the furniture of the house,Noakhali
ঘরের আসবাবপত্র রাখার লাগি স্টোররুম লাগবো,A storeroom is needed to keep the furniture of the house,Sylhet
মুই হ্যারে থুইয়া কিছু ভাবি নাই ৫ বছরে,I have not thought of anything without him in 5 years,Barishal 
একদিন ফিতিবার মায়া হাডাই যাইয়্যুম বই ফরফারঅত,One day maybe I will pass the magic of the world and go to the other side,Chittagong
একদিন হয়তো দুনিয়ার মায়া কাটিয়ে চইল্লা যামু পরপারে,One day maybe I will pass the magic of the world and go to the other side,Mymensingh
একদিন দেইয়ের পিতিবির মায়া ছাড়ি চলি জাইয়ুম পারাপারে,One day maybe I will pass the magic of the world and go to the other side,Noakhali
এখদিন কিবা দুনিয়ার মায়া কাটাইয়া যাইমু গিয়া পরপার,One day maybe I will pass the magic of the world and go to the other side,Sylhet
এক কালে এরহম অবস্থা করছেলে যে মুইও দূর্বল হইয়া যাই,At some point I became weak due to such a situation,Barishal 
আর বয়স ২৫ অইলেও আই ৫ বছর হন্সিডার গইত্তাম,"Even though I am 25, I would consider 5 years",Chittagong
আমার বয়স ২৫ হইলেও আমি ৫ বছর কন্সিডার করতাম,"Even though I am 25, I would consider 5 years",Mymensingh
আর বয়স হছিশ অইলেও আই হাছ বছর কন্সিডার কইরতাম,"Even though I am 25, I would consider 5 years",Noakhali
মোর বয়স ২৫ অইলেও মুই ৫ বৎসর কন্সিডার খরতাম ,"Even though I am 25, I would consider 5 years",Sylhet
উশ্যি ভাজা মোর পছন্দের সবজি,Fried beans are my favorite vegetable,Barishal 
ইতি আবার ফিরি চার আরে,He then wants me back again,Chittagong
হেয় তহন আবারো ফিইরা চায় আমারে,He then wants me back again,Mymensingh
হিগা তন আবার হিরি চায় আরে,He then wants me back again,Noakhali
হে আবার ওখন ফিরাইয়া নিতো চায় আমারে,He then wants me back again,Sylhet
বাড়ি যাওয়ার পথে ফেলাইওভার দেইকখা হাবিব অটাশ হইয়া গ্যাছে,Habib was surprised to see the flyover on his way home,Barishal 
শিম ভাজি আর ফসন্দর তরহারি,Fried beans are my favorite vegetable,Chittagong
শিম ভাজি আমার পসন্দের সবজি,Fried beans are my favorite vegetable,Mymensingh
সিম ভাজি আর হছন্দের সবজি,Fried beans are my favorite vegetable,Noakhali
উরি ভাজি মোর ফছন্দ সবজি,Fried beans are my favorite vegetable,Sylhet
রইব্বার গোনে মোগো বিশ্ববিদ্যালয় কেলাস শুরু,Our university classes start from Sunday,Barishal 
বাসায় যোনের ফোথত ফ্লাইওভার সাইয়েরে হাবিব অবাক অই গিল,Habib was surprised to see the flyover on his way home,Chittagong
বাসাত যাওনের পথে ফ্লাইওভার দেইক্ষা হাবিব অবাক হয়া গেল,Habib was surprised to see the flyover on his way home,Mymensingh
বাসায় যাওনের হথে ফ্লাইওভার ছাই হাবিব অবাক অই গেছে,Habib was surprised to see the flyover on his way home,Noakhali
বাসাত যাওয়ার সময় ফ্লাইওভার দেখিয়া হাবিব অবাক ওই গেছে,Habib was surprised to see the flyover on his way home,Sylhet
এই হেই সোনালী যুগের হেই পুরান গান যে গান হুনলে বুকটা ভইরা যায়,This is the ancient song of the golden age that fills the heart,Barishal 
রইবার অত্তুন আঁরার বিশ্ববিদ্যালয় ক্লাস শুরু,Our university classes start from Sunday,Chittagong
রবিবার থাইক্কা আমরার বিশ্ববিদ্যালয় ক্লাস শুরু,Our university classes start from Sunday,Mymensingh
রবিবারের তুন আংগো বিশ্ববিদ্যালয়ের কেলাস শুরু,Our university classes start from Sunday,Noakhali
রইব্বার তাকি আমরার বিশ্ববিদ্যালয় ওর ক্লাস আরম্ব ওইবো,Our university classes start from Sunday,Sylhet
"এউক্কাই পিরথিবি,তয় একেক এলাকার মানের চিন্তা একেক রহম","One world, but the people of different areas have different thoughts",Barishal 
এই সেই সোনালি যুগ অর সেই ফ্রাচিন গান যে গান ফুইনলে বুক্কান বরি যা গই,This is the ancient song of the golden age that fills the heart,Chittagong
এই হেই সোনালী যুগের হেই প্রাচীন গান যেই গান হুনলে বুকটা ভইরা যায়,This is the ancient song of the golden age that fills the heart,Mymensingh
এয়ান হেই সোনালী যুগের প্রাচীন গান যে গান হুইনলে বুকআন ভরি যায়,This is the ancient song of the golden age that fills the heart,Noakhali
অউ অইলো সোনালী যুগর হউ পুরানা গানটা যে গান হুনলে বুক ভরি যায়,This is the ancient song of the golden age that fills the heart,Sylhet
তোর বড় ভাইয়ের নাম কি ?,What is your older brother's name?,Barishal 
ফিতিবি এক্কান কিন্তু এক এক এলাকার মানুষ অর চিন্তা এক এক ডিল্লা,"One world, but the people of different areas have different thoughts",Chittagong
"একটাই পৃথিবী, কিন্তু একেক এলাকার মানুষের চিন্তা একেক রকম","One world, but the people of different areas have different thoughts",Mymensingh
এগগাই হিতিবি কিন্ত একেক ,"One world, but the people of different areas have different thoughts",Noakhali
এখটাউ দুনিয়া কিন্তু এখত জাগার মানুষর চিন্তা এখত লাখান,"One world, but the people of different areas have different thoughts",Sylhet
কয়ডা দিন অপেক্ষা কর,Wait a few days,Barishal 
তোর বর বাইয়ের নাম কি,What is your older brother's name?,Chittagong
তর বড় ভাইয়ের নাম কি ?,What is your older brother's name?,Mymensingh
তোর বড্ডা ভাইয়ের নাম কিয়া?,What is your older brother's name?,Noakhali
তোর বড় ভাই ওর নাম কিতা?,What is your older brother's name?,Sylhet
বড় বুইন কয়ডা হোবরি কেনছে,Elder sister bought some guavas,Barishal 
হয়েক্কান দিন অফেক্ষা গরন,Wait a few days,Chittagong
কয়েক দিন অপেক্ষা কর ,Wait a few days,Mymensingh
কোগা দিন অপেক্ষা করো,Wait a few days,Noakhali
কয়েকদিন উবাও একটু,Wait a few days,Sylhet
হেইহানে গোনে বড় বুইন গোডাচাইরে হোবরি কেনছে,The elder sister bought some guavas from there,Barishal 
ডর ভোইন কিছু ফেয়ারা কিন্নে,Elder sister bought some guavas,Chittagong
 বড় বইন কিসু পেয়ারা কিনল,Elder sister bought some guavas,Mymensingh
বড্ডা আপা কিছু হেয়ারা কিনলো,Elder sister bought some guavas,Noakhali
বড় বইনে কিছু সফরি কিনলো,Elder sister bought some guavas,Sylhet
তোমারে এউক্কা উপহার দেতে চাই,I want to give you a gift,Barishal 
ইয়ানত্তুন ভোইন ডর ইবা কিছু ফল কিন্নে,The elder sister bought some guavas from there,Chittagong
ওইহান থাইক্কা বড় বইন কিসু পেয়ারা কিনল,The elder sister bought some guavas from there,Mymensingh
হিয়ান তুন বড্ডা আপা কিছু হেয়ারা কিনলো,The elder sister bought some guavas from there,Noakhali
ওখান তিনে বড় বইনে কিছু সফরি কিনছিল,The elder sister bought some guavas from there,Sylhet
তোমার কি নীল আকাশ দ্যাখতে ভাল্লাগে?,Do you like to see the blue sky?,Barishal 
তোওয়ারে এক্কান উফহার দিতাম চাই,I want to give you a gift,Chittagong
 তোমারে একটা উপহার দিতাম চাই,I want to give you a gift,Mymensingh
তোয়ারে এককান উপহার দিতাম চাই,I want to give you a gift,Noakhali
তুমিতাইন রে একটা উপহার দিতাম চাই,I want to give you a gift,Sylhet
ট্যাঙ্গা এর চুক্কা দিয়া ফুচকা খামু,I will eat the blisters with the sourness of Tetul,Barishal 
তোঁয়ার কি নিল আসসান চাইতো গম লাগে নে?,Do you like to see the blue sky?,Chittagong
তোমার কিতা নীল আকাশ দেখতে ভালা লাগে ?,Do you like to see the blue sky?,Mymensingh
তোইয়ার কি নীল আকাশ দেকতে বালা লাগে?,Do you like to see the blue sky?,Noakhali
তুমিতাইন ওর কিতা নীল আকাশ দেখতে বালা লাগে না নি?,Do you like to see the blue sky?,Sylhet
আমনের লইজ্ঞা শুভকামনা রইল,Best wishes to you,Barishal 
তেতুলোর টক দিয়েরে ফুসকা হাইয়ুম,I will eat the blisters with the sourness of Tetul,Chittagong
তেতুল এর টক দিয়া ফুসকা খায়াম,I will eat the blisters with the sourness of Tetul,Mymensingh
তেঁতুল এর টক দি ফুসকা খাইয়ুম,I will eat the blisters with the sourness of Tetul,Noakhali
তেতুল টেংগা দিয়া ফুসকা খাইমো,I will eat the blisters with the sourness of Tetul,Sylhet
নীল নদী আফ্রিকার পোরধান নদীর এউক্কা,The Nile River is one of the major rivers in Africa,Barishal 
নিজে নিজর জীবন ফরিচালনা গরিত্তারিবান ,You can manage your own life,Chittagong
নিজেই নিজের জীবন পরিচালনা করতে পারেন,You can manage your own life,Mymensingh
নিজেই নিজের জীবন হরিচালনা কইরতে হারেন,You can manage your own life,Noakhali
 নিজেউ নিজর জীবন পরিচালনা খরতা পারইন,You can manage your own life,Sylhet
বেবাক কথা মোহে কইয়া দেওয়া যায়না,Not everything can be said in words,Barishal 
নিল নদ আফ্রিকার ফ্রদান নদির এক্কান,The Nile River is one of the major rivers in Africa,Chittagong
নীল নদী আফ্রিকার প্রধান নদীর একটা,The Nile River is one of the major rivers in Africa,Mymensingh
নীল নদী আফ্রিকার ফদান নদীর ইজ্ঞা,The Nile River is one of the major rivers in Africa,Noakhali
নীল নদী ওইলো আফ্রিকার প্রধান নদীর মাঝে একটা,The Nile River is one of the major rivers in Africa,Sylhet
ম্যালা তোমার সংসারের দায়িত্ব পালন করছি,I have done many responsibilities in your family,Barishal 
বেজ্ঞিন হতা মুকে হওয়া ন যাই,Not everything can be said in words,Chittagong
সব কথা মুহে কয়া দেওয়া যায়না,Not everything can be said in words,Mymensingh
বেগীন মুখে কোন যায় না,Not everything can be said in words,Noakhali
সব মাত মুক দি কওয়া যায় না,Not everything can be said in words,Sylhet
ম্যালা কইছি যে এইরহম আর ভুলেও হইবে না কহনো,I have said many times that I will never forget this again,Barishal 
আর বাবার ফ্রতি তোওয়া দায়িত্ব আসে না,I have some sense of responsibility towards my father,Chittagong
