Standard_Bangla,English_translation
জাফর সহ হ্রৃদয় মন্ডলকে আবার জেলে ঢুকানো দরকার,"Jafor, along with Hridoy Mondol, needs to be put back in jail."
"তারা নিজেদের বদনাম নিজেরাই করার লোক তাতে আমাদের কি,,, আমরা তো শেষে সত্যের জন্য অষ্ঠ হাসি দেওয়ার লোক।","Let them ruin their own reputation themselves – what do we have to do with that? We are, after all, the ones who will smile in the end for the sake of truth."
নবীজিকে নিয়ে কুটক্তি করার কারনে ওনাকেও মাফ চাইতে হবে৷,"Because of making derogatory remarks about the Prophet, he/she also needs to apologize."
ষড়যন্ত্রকারীদের আইনের আওতায় এনে দৃষ্টান্তমুলক শাস্তির ব্যবস্থা করা হোক!,The conspirators must be brought to justice and punished with exemplary punishment!
আপনি একজন সেচ্ছাসেবী হয়ে হিন্দুদের এভাবে কথা বলতে পারেন না একজন সেচ্ছাসেবী সব ধর্ম মানুষের ভাই বন্ধু,You cannot speak to Hindus like this as a volunteer. A volunteer considers people of all religions as brothers and friends.
"মুল ইতিহাস টি পড়ুন তারপর কথা বলুন, বুঝলেন।","Read the original history first, then speak. Do you understand?"
১৪০০ বছর আগে পৃথিবীটা কি আপনার দাদারা চালাইতো নাকি।,Were your ancestors running the world 1400 years ago?
"আপুকে ধন্যবাদ। সত্যটি অনুধাবন করার জন্য। ধর্ম ত সর্বদায় সত্য আর পবিএ। আর যে সত্যকে অনুধাবন করতে পারে, সেই ধার্মিক।",Thank you Apurba. For helping me understand the truth. Religion is always true and sacred. And one who can understand the truth is righteous.
"কোনটি কটু আর কোনটি সত্য, সেটা বুঝার ক্ষমতা আপনার আছে ত ভাই?","Do you have the ability to distinguish between what is harsh and what is true, brother?"
আমি আপনাদের কথা বলছিনা দাদু ভাই এখানে বলছি জয় মা কালির বাংলাদেশ,"I am not speaking to you all, grandfather. Here, I am saying, Victory to Mother Kali, Victory to Bangladesh."
মুসলমানদের বিজ্ঞান শিক্ষা দেওয়া নেওয়া দরকার নেই।,It is not necessary for Muslims to receive a science education.
"এই জাতি ধ্বংস হোক,,তারপর একটা নতুন সভ্য জাতীর সৃষ্টি হোক এটাই প্রার্থনা করি। দিনদিন আমরা সবাই মনুষ্যত্ব বিবেকবোধ হারিয়ে পশুর চেয়েও অধম জীবে পরিনত হচ্ছি।","I pray that this nation perishes, and a new, civilized nation is born. Day by day, we are all losing our humanity and conscience, becoming even more degraded than animals."
সমসাময়ীক ঘটনা ধামাচাপা দেয়ার নির্লজ্জ বহির্ভূত।,Shamelessly covering up contemporary events.
জড়িতদের দৃষ্টান্তমূলক শাস্তির দাবি জানাই,We demand exemplary punishment for those involved.
"ইসলাম ছাড়া পৃথিবী চলে না, বিজ্ঞান পৃথিবী চলে, ইসলামের মধ্যে শুরু থাকে শেষ পর্যন্ত আছে। বিজ্ঞানের ভিতরে সব নাই। তাই ইসলাম সম্পর্কে কটুবাক্য করার দৃষ্টান্তমূলক শাস্তি প্রধানকরা উচিত।","The world cannot function without Islam; science does, but Islam encompasses everything from beginning to end. Science does not contain everything. Therefore, exemplary punishment should be given to those who make derogatory remarks about Islam."
এটা কি হিন্দুদের অপমান করা হচ্ছে না কি মনে হয় আপনার,Don't you think this is disrespecting Hindus?
"নিজের ধর্ম পড়ে আছে কুসংস্কারের অন্ধকারে,
উনি আবার অন্যধর্মের মানুষকে বিজ্ঞান শেখায়।","His own religion remains shrouded in the darkness of superstition, yet he teaches science to people of other faiths."
এখন তাকে সসম্মানে মুক্তি দিয়ে অন্য একটা স্কুলে বদলী করে দিলেই ভালো হবে। কারন এখানে থাকলে তাকে আরও মানসিক নির্যাতনের শিকার হতে হবে তার চেয়ে নতুন পরিবেশে গেলে মানসিক শান্তি পাবে।,"It would be best to release him with respect and transfer him to another school. Because if he stays here, he will continue to suffer mental abuse, and he will find peace in a new environment."
কালের নিয়মেই সব সমাধান হবে।এভাবে কোন জাতিকে ধ্বংস করা যায় না।,Everything will be resolved in due course of time. A nation cannot be destroyed this way.
সাংবাদিকদের বেল আইকন দিয়ে ২০২২ কাতার বিশ্বকাপ ফুটবল খেলা হবে,The 2022 Qatar World Cup football match will be signaled with a bell icon for journalists.
বিজ্ঞান শিক্ষা বাদ দিয়ে সারা দেশে মাদ্রাসার পায়ু মারার মত শিক্ষা দেওয়া হোক।,"Let madrasa education, akin to striking the rear of the country, be provided nationwide instead of science education."
ভাবখানা এমন যে সে একজন মহা বিজ্ঞানী? এবার তবে বিজ্ঞানে নোবেল পুরষ্কার পাবে!,He's acting like a great scientist? Now he'll probably win the Nobel Prize in science!
ওনার প্রতি অন্যায় হলো,An injustice was done to him/her.
"কোরআন শরিফ এবং আমাদের নবী মোস্তফা এই কি জানেন না, এখানে বিগ্গানের দোয়ায় দিবেন এইটা জানেন না, আর এখন দেবির বাংলাদেশ হলে সমস্যা কি আরো ভাল","Don't they know about the Quran Sharif and our Prophet Mustafa? Don't they know that blessings are sought through science here? And if Bangladesh becomes a land of the goddess, what's the problem? Wouldn't that be even better?"
"অবশেষে জাফর ষাড়ের বক্তব্যের পর মুক্তি পেল,,","Finally, after Jaafar's statement, he was released."
"আলহামদুলিল্লাহ! একজন শিক্ষকের অপমানে সৃষ্টকর্তা নিশ্চয়ই নাখোশ হয়েছেন। সৃষ্টিকর্তা জ্ঞানের আধার, তিনি জ্ঞানী লোকদের ভালবাসেন।
কুপমুন্ডকতাকে তিনি ঘৃনা করেন।","All praise be to Allah! The Creator is surely displeased by the dishonor of a teacher. The Creator is the source of all knowledge, and He loves those who are knowledgeable. He despises arrogance and miserliness."
ওরে ১৯ বছর সাজা দেওয় উচিত অয়তো বিজ্ঞানের ব জানেনা,"He should be sentenced to 19 years, perhaps he doesn't understand science."
যখনপ্রিয়া সাহা আমেরিকা গিয়ে ট্রাম্পের কাছে নালিশ করলো তখন তোমাদের বিবেক কোথায় ছিলো ? ভারতে যখন মুসলিমদের উপর অত্যাচার সমানে হচ্ছে তখন তোমাদের বিবেক কোথায় থাকে ?,Where was your conscience when Priya Saha went to America and complained to Trump? Where is your conscience when Muslims are constantly being oppressed in India?
এইজে মুর্খতার কারনে তুই আমাদের ধর্মকে নিয়ে খারাপ কথা বলছিস,"Due to your foolishness, you are speaking ill of our religion."
এই মূর্খের দেশে জন্মানয় পাপ ।,Being born in this land of fools is a sin.
বিজ্ঞান পাড়াতে গিয়ে ধর্ম নিয়ে বাড়াবাড়ি না করলে হয় না? ভুলের মাসুল দিলেন কড়ায়-গণ্ডায়।,"Is it impossible to visit a science fair without excessive religious discussion? He paid the price for his mistake, and a hefty one at that."
হায় হায় হায় এটা কি হইল ধর্ম তো বিজ্ঞান এর কাছে হেরে গেলো,"Oh dear, oh dear, what has happened? Has religion lost to science?"
তুই আগে ভালো ভাবে শিক্ষিত হগা জা তার পরে আমারে শিক্ষাইতে আসিস।,"You should get properly educated first, then come and teach me."
এটা ভারত হলে কোনোদিনই জামিন পেত না। প্রমাণ হলো বাংলাদেশ সহিষ্ণু দেশ।,"If this had happened in India, bail would never have been granted. This proves Bangladesh is a tolerant country."
"ভাইজান মমিনুল হক সাহেব যে ধরনের ভুল করে জেলে
আছেন, এর ছেয়ে ১০গুন বেশি ভুল করেও হাজারও লোক দিব্যি ঘুরে বেড়ায় কিন্তু সরকার তাদেরকে কখনোই জেলে দিবেনা","The type of mistake Mominul Haque Sahib made that landed him in jail, thousands of people make ten times worse mistakes and still roam free, but the government will never send them to jail."
আমার সন্দেহ হচ্ছে হয়ত এই আন্দোলন কোটা আন্দোলনের ন্যায় দমে যাবে।,I suspect this movement might fizzle out like the quota movement did.
সরকারের ধোঁকায় পড়া যাবেনা। আন্দোলন চালিয়ে যেতে হবে।,Don't be misled by the government. The movement must continue.
নিরাপদ মানুষ ও নিরাপদ সড়ক চাই তবেই নিরাপদে বাঁচতে পারব।,We will be able to live safely only if we have safe people and safe roads.
এটাকে যেন রাজনীতির রং কেউ লাগাতে না পারে। প্লীজ,Please ensure this isn't given a political spin.
বিশ্বাস করবো কাকে বলুন????????,"Who should I trust, tell me????????"
ভাইয়া সব্বাই ত ধাবি র জন্য রাস্তায় নাম্ল কিন্তু দাবিকি সত্যি পুরন হবে??,"Everyone has taken to the streets for the demands, but will those demands truly be fulfilled?"
এই অান্দোলনের নামে ঘোলা পানিতে মাছ শিকার হচ্ছে না তো?,"Is someone taking advantage of this movement to exploit the situation, or is it a genuine cause?"
আমারা কি আমাদের জীবনকে আদৌ ভালবাসি!,Do we even love our lives?
আমাদেরকে জারা নিরাপদে রাখবে তারা নিরাপদ কি,"Are those who will keep us safe, safe themselves?"
শতভাগ সমর্থন করি এই ধারনাকে । কিন্তু বর্তমানে এ দাবি করারটা সাহসের ব্যপার ।,I fully support this idea. But making this claim right now takes courage.
দেখেন যেন এই খবর পেয়ে টাকাওয়ালা রা আবার হামলা না দেয় এখানে। কারণ যাদের টাকা আছে এটা তাদের স্বভাবে পরিনত হয়েছে সবজায়গায় ভাগ বসানোর।,Make sure the wealthy don't attack again after hearing this news. Because it has become the nature of those with money to try and take over everywhere.
এটা কি সুরু করেছে,Has it started?
"উন্নয়নের বুলির অন্তরালে নিত্য প্রয়োজনীয় দ্রব্যের দাম যে আকাশচুম্বী হয়েছে তা দেশের মানুষ ভুক্তভোগী।
নৌকার প্রার্থীরা যেই ভাবেই জামানত হারাচ্ছেন, এভাবে চলতে থাকলে বাংলাদেশ থেকে আওয়ামী লীগ খুব শীগ্রই বিলুপ্ত হয়ে যাবে।","The people of the country are suffering as the prices of daily necessities have skyrocketed behind the facade of development. The candidates of the Boat (Awami League's election symbol) are losing their deposits in whatever way possible; if this continues, the Awami League will soon become extinct from Bangladesh."
"আল্লাহ আমাদের সবাইকে হেফাজত করুন,,",May Allah protect us all.
এর শেষ কোথায়???,Where does this end???
দুর্বিক্ষের দ্বারপ্রান্তে দেশ?,Is the country on the brink of disaster?
দেশে নিরব দূর্ভিক্ষ চলতেছে বয়ে আনতে পারে ধ্বংস,"A silent famine is ongoing in the country, which could bring about destruction."
এই বুঝি আমাদের দেশ ধনী হয়ে গেল।মন্ত্রীদের মুখের চাপা আর বর্তমান দেশের অবস্থতা সম্পূর্ণ বিপরীত,"It seems our country has become rich. The ministers are being tight-lipped, and the current state of the country is completely opposite to what they claim."
ছেলে মানুষ এসে গাড়ি টা ভেঙে পুড়িয়ে দিলেই তো পারে,"A young boy could come and break and burn the car, you know."
বড় বড় চেয়ার দখল করা চোর গুলো এসব দেখে না,The big chair occupants/Those in power don't see these things.
তো কি হইছে ২৬০০ ডলার আমদের মাথাপিছু আয়,What happened with the $2600 per capita income?
চোরে চোরে মাসতুতু ভাই!!,Thieves are brothers to thieves!!
এ-ই বিষয়ে দ্বিমত পূষণ করলাম।,I fostered disagreement on this very matter.
"ইশ! প্রধানমন্ত্রী আর তার মন্ত্রীসভাও যদি এমন হুমকি দিতো?? কিন্তু আমাদের কপালে এই সুখ নাই। শুধু পাচাটা তৃতীয় শ্রেণীর এইসব ভিসিরাই এমন হুমকি দেয়, তাও সিরিয়াস্লি না।","Ugh! If only the Prime Minister and his cabinet would threaten like this too?? But we aren't so lucky. Only these third-rate thugs give such threats, and not even seriously."
"না, এটা মেনে নেয়া গেলনা কোনভাবেই। এটা ছাত্রদের প্রতিবাদের ভাষা হতে পারেনা কোনভাবেই।","No, this cannot be accepted in any way. This absolutely cannot be the language of student protest."
আমরা যদি শিক্ষকদের এইভাবে অপমান অপদস্থ করি তাহলে সমস্ত জাতি আমাদের কাছে কি প্রত্যাশা করে।সম্মানের জায়গা গুলো তো আস্তে আস্তে সংকোচিত হয়ে যাচ্ছে। একজন শিক্ষককে এভাবে অপমান অপদস্থ করা যায় কিনা।,"If we continue to disrespect and humiliate teachers in this manner, what can the nation expect from us? The spaces for respect are gradually shrinking. Is it even acceptable to disrespect and humiliate a teacher like this?"
বাংলাদেশে নির্লজ্বের হার নেতিবাচক হারে বাড়ছে...!!!,The rate of unemployment in Bangladesh is increasing at a negative rate...!!! 
"শুরু থেকেই আমিও আতঙ্কিত,,,, এই আলামত সুখের নয়। সকল বাংগালী তথা সংস্কৃতিমনা মানুষের জন্য হুমকি স্বরূপ","I have been terrified from the very beginning... these signs are not of happiness. This is a threat to all Bengalis, and to all people who cherish culture."
মানুষের উপর জানোয়ারদের হামলা। বাংলাদেশের ভবিষ্যৎ খুবই খারাপ।,Attacks on people by animals. The future of Bangladesh is very bleak.
"একটা রাষ্ট্রের দায়িত্ব ধর্ম বর্ন নির্বিশেষে সকলের নিরাপত্তা নিশ্চিত করা।
এসব কি হচ্ছে দেশে??","A state's responsibility is to ensure the safety and security of all its citizens, regardless of religion or caste. Is this what is happening in the country?? "
"নির্যাতনের মাত্রা বেড়েই চলেছে, সরকার বসে বসে আঙুল চুসছে।ভারত তাকিয়ে তাকিয়ে দেখছে।","The level of oppression is increasing, and the government is sitting idly by. India is watching."
সভ্য কোন দেশে একের পর এক এমন বর্বর হামলা চলতে পারে না। দোষীদের দৃষ্টান্ত মূলক শাস্তি চাই।,Such barbaric attacks cannot continue to happen in a civilized country. We demand exemplary punishment for the perpetrators.
"এই অবস্থা মেনে নেওয়া যায় না।
দায় কার যবাব চাই",This situation is unacceptable. Accountability is demanded.
"একদিন বাংলাদেশে কোনো হিন্দু থাকবে না,সেদিনও আগুন জ্বলবে বোমা মারবে তবে অন্যকে নয় নিজের পাছায় নিজেই মারবে।
যেমনটা হচ্ছে আফগানিস্তান, পাকিস্তান,ইয়েমেন সিরিয়াসহ আরো দেশে।","One day there will be no Hindus left in Bangladesh, and even then the fire will burn, bombs will explode, but not at others, but on their own backs. Just like it is happening in Afghanistan, Pakistan, Yemen, Syria, and other countries."
এটার কি কোন রাজনৈতিক ইসো,Does this have any political implications?
বাংলার মাটিতে নতুন ইতিহাঁস পুলিশ নিজেই নিজের মামলা করছে।,"A new history is being made in Bengal, where the police are filing cases themselves."
ভাই আপনার উদ্দেগ আজ সফল হচ্ছে,"Brother, your endeavor is succeeding today."
তিনি কি বাংলাদেশের ইমরান হতে পারবেন?,Can he be the Imran of Bangladesh?
বাহ! উনিতো অনেক ভাল&সুন্দর করে কথা বলেন।,Wow! She speaks so well and beautifully.
চমৎকার কাঞ্চন ভাই ধন্যবাদ আপনাকে,"Excellent Kanchan bhai, thank you."
লন্ডনে কোথায়?,Where in London?
"চমৎকার উদ্যোগ, মহৎ উদ্দেশ্য। কিছু অসহায়ের মুখের হাসি অন্তত দেখা যাবে,আল্লাহ্ এদের সহায় হন।","Wonderful initiative, a noble cause. At least some helpless people will have smiles on their faces, may Allah help them."
"যেটা সরকার পারে না, সেটা কোনো এক দল লোক করে দেখালো।","What the government couldn't do, a group of people showed it could be done."
"মাশাল্লাহ এই উদ্যোগটা কার,,","MashaAllah, whose initiative is this?"
"ওয়াওওও, আলহামদুলিল্লাহ!",Wow! Alhamdulillah!
কিভাবে সম্ভব হয় এমন অসাধ্য কর্ম!,How is such an impossible feat possible!
বিস্মিত!!!!!!!,Amazed!!!!!!!/Astonished!!!!!!!/Stunned!!!!!!! 
বাহ্! চমৎকার।,Wow! Excellent.
কি বলবো... বাহবা দেওয়ার ভাষা নেই।।।।আল্লাহ তোমাদের ভালো করুক,What can I say... There are no words to express how wonderful it is. May Allah bless you all.
এটা কি সত্যি সত্যিই নাকি কল্পনা?,Is this real or just imagination?
এ কি দেখলাম,What did I see?
আসলে সহ্য হয়ে গেছে যাক ভালো,"Well, I guess I've gotten used to it. Let it be."
আমি হতাশ দেশের মানুষের কাজ দেখে প্রতিটা ক্ষেত্রে সিন্ডিকেট করে এরা দুর্নীতি করছে সরকার এবং জনগন সবাইকে তারা জিম্মি করে নিজেদের অন্যায় স্বার্থ হসিল করছে,I am disappointed by the work of the people of this country. They are forming syndicates in every sector and engaging in corruption. The government and the people are being held hostage by them as they pursue their own selfish interests.
সাংবাদিক তেলের দাম বৃদ্ধি পেয়েছে বলে গুজব ছড়াচ্ছেন!! আসলে দামের উন্নয়ন হচ্ছে এই দেশে মাথাপিছু আয় ৩ হাজার ডলার সংসারের ৫ জন লোক থাকলে তাদের বছরে আয় ১৫ হাজার ডলার যারা এত ডলার আয় করেন তারা মাত্র ২ ডলারের ও কমে ১ লিটার তেল কিনতে পারবে না??,"Journalists are spreading rumors that the price of oil has increased!! In reality, there is an improvement in prices in this country, with a per capita income of $3,000. If a household has 5 people, their annual income is $15,000. Those who earn this much income will not be able to buy 1 liter of oil for even less than $2?? "
বাহ্ ৮০ টাকা লিটার থেকে ১৬৮ উন্নতির দ্বারপ্রান্তে দেশ!,"The country is on the verge of improvement, with fuel prices rising from 80 to 168 taka per liter!"
"আপনি কি এখনও বেঁচে আছেন?
ঐদিন তাহলে, কার জানাযা পড়ে আসলাম?","Are you still alive?
Then who's funeral prayer did we offer that day?"
মারাত্মক বিষয় তো,The serious matter is...
প্রশ্ন: ভিডিওটা করছে কে?,Who is making the video?
জনসংখ্যার তুলনায় টিসিবির পণ্য অতি নগণ্য,The quantity of TCB products is very insignificant compared to the population.
"মাথাপিছু আয় ২৫৫৪$ বা ২ লাখ ১৯ হাজার টাকা 
রাত পোহালেই আয় বাড়ছে, আমরা অজান্তেই বড়লোক হয়ে যাচ্ছি 

আহ সোনার বাংলাদেশ","Per capita income is $2554 or 219,000 taka. 
Income is increasing overnight, we are unknowingly becoming rich. 
Oh, golden Bangladesh!"
ধৈর্য ধরি।,Have patience.
শিক্ষক কাকে বলে ?,Who is a teacher?
আপনি না মানলেও এটাই বাস্তবতা।,"Whether you like it or not, this is the reality."
এটাও প্রতিবাদ!,This is also a protest!
"ধন্যবাদ প্রথম আলোকে,","Thank you, Prothom Alo."
এ কোন বাংলাদেশ! স্বাধীনতার এতো বছর পরে ও যদি এই চিত্র দেখতে হয়? তাহলে কেন এই স্বাধীনতা?কেন এই পতাকা?,What kind of Bangladesh is this! To still see this picture after so many years of independence? Then what was the point of this independence? What is the meaning of this flag?
এ ধরনের লোক কি ভাবে ভিসি হয় ??? বড় আফসোস !!!,How do people like this become VCs??? What a shame!!!
বড় বড় ডিগ্রিধারী লোকেরা আজ ক্ষমতার মোহে অন্ধ হয়ে গেছে!,People with high degrees have become blinded by the lust for power today!
কোন দেশে থাকি আমরা!!!,In which country do we live?!
মানুষ কত নিচে নামলে এমন কথা বলতে পারে।,How low can people stoop to say such things?
অাজব দেশে অাছি !!!,I am in a strange country!!!
আচ্ছা এরা কিভাবে এসব পদ পায়??,"Wow, how do these people get these positions?"
এদের মত শয়তান দের কারনে আজ আমদের দেশের এহাল,"Because of devils like them, the situation of our country's people is dire today."
কেয়ামত খুব নিকটে,The Day of Judgement is very near.
হায়রে সুসিল সামাজ।আল্লাহ তুমি এদের হেদায়েত দান করো।,Oh respectable society! May Allah guide them (these people).
শিক্ষার আর শিক্ষক আজ কোথায়,Where are education and teachers today?
জ্ঞান থাকলেই জ্ঞানি হওয়া যায় না ।,Having knowledge doesn't necessarily make one wise.
"নির্বোধ কি করে ভিসি হয়!
তাও আবার ঢাবি'র!","How can an idiot become a VC! And of Dhaka University, no less!"
এর মত পাঠা ঢাকা বিশ্ববিদ্যালয়ের ভিসি লজ্জা লজ্জা ।,"Reading this, the Vice-Chancellor of Dhaka University should feel ashamed, ashamed."
জাতি হিসাবে ঘৃণা ও লজ্জাবোধ করছি !!,I feel hatred and shame as a nation!!
কিছুই বলার নাই!! মানুষের বিবেক কোন দিকে যাচ্ছে??,There's nothing to say!! Where is humanity's conscience heading?? 
ছি! ছি!! ছি!!! এমন কথা বলতে পারলো কি করে?? এই কারনেই হয়তো ভিসি হতে পেরেছে।,Shame! Shame!! Shame!!! How could she even say something like that?? This is probably why she became the VC.
"এমন কুলাংগার যখন এই দেশের সর্বোচ্চ বিদ্যাপিঠ এর উপাচার্য, আফসোস",It's regrettable that a person like this is the Vice-Chancellor of the country's highest institution of learning.
লজ্জা কই রাখি।,Where do I keep my shame?
"ছি ছি ছি::::
আপনার মুখে এই কথা.......
লজ্জা পেলাম।।।।।","Tsk tsk tsk::::
These words from your mouth…
I am ashamed.||||"
বিচার পতি তোমার কাছে বিচার না পেলে কোথায় বিচার পাবে মানুষ কার কাছে গেলে?,"If justice is not found with the judge, where will people find justice? Who will people turn to?"
"আপনার কথায় আমরা লজ্জিত, জনাব উপচার্য।","We are ashamed of your words, Mr. Vice-Chancellor."
দুঃখ জনক,Sad
সব কিছু মিলে দুঃখ-জনক!,Everything is unfortunate/sad/disappointing!
শুধু লজ্জা বলতে পারি,I can only feel ashamed.
কোথায় নেমে আসছি আমরা !!!,Where are we landing/getting off?!
"এখনকার জাতির বিবেকের কথা। এইসব বিবেক, আমাদের কোন ধরনের নৈতিকতা শেখাবেন???","Now, about the conscience of the current generation. What kind of morality will these consciences teach us???"
বক্তব্য টা ঠিক না,That statement is not correct.
ধিক্কার দেয়ার ভাষাটাও খুঁজে পাচ্ছি না এদের।,I can't even find words to condemn them.
জ্ঞান পাপি আর কাকে বলে!!,What even is 'gyan papi'?!
এই জন্য মাতৃভুমি ছেড়ে প্রবাসে বসবাস করছি বিশ বছর হয়ে গেল।,It has been twenty years since I left my homeland and started living abroad for this reason.
কমেন্ট গুলি যদি আপনার কোন সন্তান পড়ে (যদি থাকে) তারও মুখ দেখানোর রাস্তা থাকবে না কেমন মানুষ হলে এই জাতিও তিরস্কার করতে পারে একবার ভাবুন!একটা ভাল মন্তব্যও পেলাম না আপনার এই কথায়,"If your comments prevent your own child (if you have one) from showing their face, just imagine what kind of person you must be! Think about it – this nation might even condemn you. I didn't even receive a single good comment in response to what you said."
এটা খুব লজ্জিত কথা,This is a very embarrassing thing.
ছি ছি মানুষ এতোটা নিচে নামতে পারে।,"Tsk tsk, people can fall so low. "
লেখাপরা করে কি হবে দল ছারা মামা ছারা চাকুরি হবে না,"What's the use of studying? Without connections (a 'dal' - group/faction) or an uncle (a 'mama' - maternal uncle, often implying nepotism), you won't get a job."
ধিক্কার জানাই এইসব লাকদের,I condemn these people.
দেশে শিক্ষিত মানুষের বড়ই অভাব।,There is a great lack of educated people in the country.
কমেন্টস্ গুলো হয়ত ওরা পড়েনা পড়লে হয়ত অাত্বহত্যা করত,"They probably don't read the comments. If they did, they might have committed suicide."
স্যার এমন অবিবেচকের মত কথা আপনার কাছ থেকে আশা করিনি,"Sir, I didn't expect such an imprudent remark from you."
নিজেও একজন শিক্ষক! তাই লজ্জা হচ্ছে!!,I am a teacher myself! I feel ashamed!!
এমন একজন মানুষের কাছ থেকে জাতি এ কথা আশা করেনা,The nation does not expect this from a person like him.
"হাইরে মানুষ, রঙ্গিন ফানুশ;
দম ফুরালেই ফুস।","Oh people, colorful balloons;
Once the air is gone, they just fizzle out."
লেখাপড়া করেশিক্ষীত বেয়াদবের জায়গা আল্লাকোথায় রাখছে,Where is God placing the educated impudent/disrespectful person? (Literally: Where is God placing the place of the educated rude person?)
বাংলাদেশে জন্ম নেয়াই বড় পাপ হয়েছে।,Being born in Bangladesh is a great sin.
১০০% সহমত। কোটা একটা অভিশাপ,100% agree. Quotas are a curse.
এখন ই তুলে নেওয়া হউক।,Let's take it up now.
জনাব আকবর আলী খান ঠিক বলেছেন।,Mr. Akbar Ali Khan is absolutely right.
১০০% কোটাব্যবস্থা তুলে দিতে হবে,The 100% quota system must be abolished.
কোটা দেশকে পংগু করে ফেলছে।কোটামুক্ত দেশ চাই।,The quota system is crippling the country. We want a quota-free country.
তুলে নেয়া হক কোটা_খাটাবে সবাই নিজের মাথা।বাপের মাথা দিয়ে আর কত ?,It's time to take responsibility – everyone will bear their own burden. How much longer relying on our fathers' shoulders?
আর অনেক আগে বন্ধ করা উচিৎ ছিল। তাহলে এমন বৈষম সৃষ্টি হতো হত না।,It should have been closed a long time ago. Then this discrimination wouldn't have happened.
কোটা একটি বৈষম্যের নাম। অবশ্যকর্তব্য বন্ধ করা।,Quota is a name for discrimination. Compulsory duty should be stopped.
কোটা দরকার নয় জ্ঞানি লোকের প্রয়োজন,"We need merit, not quotas."
মুক্তিযোদ্ধাদের দেখলে এখন আর মনে শ্রদ্ধা আসে না,Seeing freedom fighters now doesn't inspire respect anymore.
কোটা মুক্ত দেশ চাই।,We want a quota-free country.
অনতিবিলম্বে কোটা ব্যবস্থা বাতিল করা হোক।,The quota system should be abolished immediately.
কৌটা কমাতে হবে,The quota needs to be reduced.
কোটা বাতিল না হলে দেশ দিন এগোতে পারবে না,The country won't be able to move forward if the quota system is not abolished.
"দেশকে যদি মেধাশূন্য দেখতে না চাই,তবে কোঠা প্রথা বাতিলের বিকল্প নেই","If we don't want to see a country devoid of talent, there is no alternative to abolishing the quota system."
কোটা ব্যবস্থা একটা জাতিকে বিভক্তি করে।ধ্বংস করে।,The quota system divides a nation. It destroys it.
এক নায়ক তন্ত্রের মত ব্যাবস্থা মেধাটা বড় নয় কি কোটা আছে আগে তাই খোজে,"Isn't a system like autocracy prioritizing connections over merit? Shouldn't we look for quotas first, as they exist?"
অবশ্যই একমত।এই কোটা সেই কোটা করতে করতে আমরা কোন সুযোগই পায় না।,Absolutely agree. We don't get any opportunities at all while constantly dealing with this quota system.
"কোঠা ব্যবস্তাকে না বলুন,,,এটা জাতির জন্য চরম অভিশাপ",Say no to the quota system – it is a grave curse for the nation.
যত দিন কোঠা থাকবে বাংলাদেশ ততদিন সারাবিশ্ব হতে পিছিয়ে থাকবে,"As long as quotas exist in Bangladesh, it will remain behind the rest of the world."
কোটা ব্যাবস্থার কারনে প্রকৃত মেধাবীরা বঞ্জিত হচ্ছে তাদের ন্যয প্রাপ্য থেকে,"Due to the quota system, truly meritorious students are being deprived of their rightful dues."
হরফ ছাড়া মহরী তরফ ছাড়া জমিদারী টিকে রাখার জন্যেই কোটা ব্যবস্হা।,"The quota system exists solely to maintain the zamindari system without 'harf' and 'mahri' – essentially, to preserve it without merit or qualification."
"কোটা ব্যাবস্থা না থাকায় ভালো,,কারন মেধাবীরা সুযোগ পায় না,,,","It's good that the quota system doesn't exist, because meritorious students don't get opportunities."
কোটা এখন গলার কাটা হয়ে দাড়িয়েছে।,The quota system has now become a thorn in the side.
"ভাইরে কস্ট করে কিছু অর্জন কর,তাহলে সুখ পাবা","Brother, work hard to achieve something, and you will find happiness."
পঙ্গুত্ব স্বীকার করে নেয়া।,Accepting one's disability.
আমজনতার মতাম‌তের কোন গুরুত্ব আ‌ছে এ‌দে‌শে?,What importance does the opinion of the common people have in this country?
কোটার জন্যই তো আমাদের জীবনের বারোটা বেজেছে।,Our lives have been ruined because of the quota system.
মুক্তিযোদ্বার ছেলেমেয়ে কোটা ঠিক আছে কিন্তু নাতীনাতনী কোটা অযোক্তিক।।।।,"Quota for the children of freedom fighters is acceptable, but quota for grandchildren is illogical."
কেন যে দাদা যুদ্ধ করলোনা!!,Why didn't Dada fight!!
"ভাই ভাই কোটা চাই,নইলে যুদ্দো চাই,মুক্তিযোদ্দা হবো","We want brotherly quotas, or we want war, we will become freedom fighters."
দেশের মেরুদন্ড ভেঙ্গে ফেলা হচ্ছে।,The backbone of the country is being broken.
"ঠিক বলেছেন, সাধারন ছেলে মেয়েরা পায়না বয়সে বেলাও তারতম্য।","That's right, ordinary boys and girls don't experience the same timing with age."
অবিলম্বে বাতিল করা হোক এই অভিশাপ,This curse must be revoked immediately.
কোটা ব্যবস্থা হলো একটি জাতিকে মেরুদণ্ডহীন করার প্রয়াস!,The quota system is an attempt to render a nation spineless!
আমার কথা যার যুজ্ঞতা আছে তারাই সুযোগ পাবে কেন এত রাজনিতি,Only those who have the ability will get the opportunity. Why so much politics?
কোন কোটার প্রয়োজন নেই,No quota is required.
ব্যর্থ মানুষের পরামর্শে ব্যর্থই হতে হবে।,One must fail if they take advice from a failed person.
