Sentence,English Translation, Labels
কালকে নিয়ে যাবেন,I’ll take it tomorrow.,Khulna
তুমি আ্যাকছের আস্হাভাজন,You are very trustworthy.,Barisal
তুমি কি নতুন কামের জন্য প্রস্তুত,Are you ready for a new job?,Narail
একটু আস্তে কইবেন,Say a little slower?,Barisal
মুইও পারি কইতে,I can say,Barisal
বাহ তুমি দারুণ করেছো,Wow! You did wonderfully!,Narail
এতো দেরি হলো কেম্মা করে,Why is it so late?,Narail
মোর লইগ্গা একটু সোমায় দ্যান,Give me some time.,Barisal
আজগি আবহাওয়া খুব শুন্দুর,Today the weather is very beautiful.,Khulna
পেল্কা সোল্কা আর সেদোল ভালো করি আন্দা শিখিস,"Learn properly how to cook pelka, solka, and sedol.",Rangpur
হেইডা আমার পছন্দ না,I don’t like that!,Khulna
তোমার লইগ্যা অনেক কিছু হিকছি,I learned a lot from you.,Barisal
তোর ব্যাবার আচার মোডেও ভালো না,Your behavior is not good at all.,Barisal
ভালোবাসি মোগো রোংপুররে,Love our Rangpur,Barisal
তোর পড়ালেহা করতে এক্কালেও ভালো লাগে না,You never like studying?,Barisal
তুমি কি চা খাবা,will you have tea,Barisal
তোর লগে একটু দরকারি কতা কইতে চাই,I need to talk to you about something important!,Khulna
সাগাই আসছে চেয়ার কোনা নিয়া আয়,"The guest is coming, bring the chair.",Rangpur
চুপচাপ থাক,Be quiet.,Rangpur
আমাকে তোমার মতলব কও,Tell me your point.,Khulna
তোমার লেহাপড়া কেমন চলছে,How is your homework going?,Narail
অল্প বয়সেই ওয় মরি গেছিলো,he died at a very young age.,Rangpur
দয়া কুরি আসতি এট্টুও দেরি করবেন না,Please don’t be late coming.,Khulna
এইখানে অনেক কিছু লেহা আছে,There is a lot to see here.,Narail
দয়া করে একটু সাহায্য কর,Please help a little.,Khulna
তুমি কি কিলাসে সক্রিয়ভাবে অংশগ্রহণ করো,Do you actively participate in class?,Narail
এটে আর থাকপের ইচ্ছা করোছে না,I don't want to stay here anymore.,Rangpur
এটা হিন তত্ হইল,It's true!,Rangpur
এই ভাষাটা আমাদের গর্বের,This language is our pride.,Khulna
হাড়ি পাতিল যা আছে সব আছড়ায় ফেলাই দিছে,He threw and broke all the pots.,Khulna
তুই কেম্মা করে এত বড় নদী পার হয়ে চলে আসলির,How did you manage to cross such a big river and come here?,Narail
বিদেশ ঘোরতে যাওয়া মোর স্বপ্ন,Traveling abroad is my dream.,Barisal
তারপর দুর্বল বা ছেঁড়া মাংসপেশি সেলাই করে ঠিক করে দেন,"Then, the weak or torn muscles are stitched and repaired.",Narail
এই চেংড়ি শুন তোর মাওক কবু বাইগন দিয়ে ইচল্যা মাছের অস আন্দিবে,"Listen, your mother should use eggplant and make fish properly.",Rangpur
ঘরের মধ্যে একটু ঠান্ডা লাগে,It feels a little cool inside the house!,Khulna
মোক তোমার অভিজ্ঞতা কইবেন,Tell me your experience?,Rangpur
মোক জ্বলাস না তো,Don’t make me feel upset.,Rangpur
ভাষা ভুলি যাইম,Will I forget the language?,Rangpur
শিহাব মোরে দেখে মোর কাছে বসলো,Shihab saw me and sat down next to me.,Narail
হামার এত্তি আইসেন,Come to us here.,Rangpur
ভালো করে কথাক লাইক দি,"Speak nicely, and give a like.",Khulna
তুমি সহজ বাইলে মাইনসেরে বোঝাইতে পারো,You can easily convince people.,Barisal
পইড়া আইসেলো,Came after studying,Barisal
ক্যাম্মে এউগ্গা সোম্ভাব,How is this possible?,Barisal
আমার একটু সাহায্য করবি,Will you help me a bit?,Khulna
আস্তে কতা ক,Speak slowly.,Rangpur
আমাগো এইহানে রাস্তা টা ভালো,The road here is good.,Narail
এইহান দিয়ে সোজা গেলে রাস্তাটা পাইবে,"If you go straight from here, you will find the road.",Narail
খাইয়া লও,eat it,Barisal
চা খাইবা নাকি কফি,Will you have tea or coffee?,Narail
প্যাঁচা মাইর দিবো ঠিক হইয়া যা,"I’ll slap you, behave properly.",Khulna
এবার আহালে মানু মরবে,"This time, people will die.",Barisal
আমার জন্য একটু দয়া কর,Show me a little kindness.,Khulna
আজকে মেলা কাজ আছে,There is a lot of work today.,Rangpur
মাইয়াডা খুব চঞ্চল ধরা যায় না,"The girl is very restless, can’t be caught.",Khulna
আইজকের খেলাটা দারুণ জমেছে,today's game is awesome.,Narail
পোলাউগা ধোলা রঙের জামা পইড়া আইসেলো,The boy came wearing a light-colored shirt.,Barisal
তোমার লগে কোনো আইডিয়া আছে,Do you have any ideas?,Barisal
তোর কতা মোনে থাকপে,Will you remember what I said?,Barisal
আমার সাথ সময় কাটাও,Spend time with me.,Khulna
মেলা টাকা নাগে এলায় এতলা টাকা টক করি কটে পাইস কতো,"It costs a lot of money. Tell me, where did you get so much money suddenly",Rangpur
তার জন্যি উপহার কেনো,Buy a gift for him/her.,Narail
ঢাকা ম্যালা ব্যাস্ত শহর,Dhaka is a bustling city.,Narail
তুই কি সকালত উঠিয়া বেয়াম করিশ,Do you exercise in the morning?,Rangpur
তুই কি মোর কথায় গোসা হলু,Did you get angry at what I said?,Rangpur
মোর আজকে মনডা কেনজানি ভালোন নাই,I don't know why my mind isn't feeling well today.,Narail
আমার জন্য কিছু মিষ্টি আনিয়েন,Bring me some sweets.,Khulna
টাকা উপার্জন করেছিলাম,I made money.,Narail
তুমি এহন কি করতাস,What would you do here?,Narail
সেড়াটা দেও তো,Give me the ladder!,Rangpur
বইগ্গা পড়ো,read the book,Barisal
আচ্ছা এটা কেডা বল্লো,Okay! Who said this?,Khulna
কারমাইকেল ক্যাম্পাসে যামু,I will go to Carmichael campus,Barisal
এইডা হাগুয়া পিচ্চি,This little kid is so naughty!,Khulna
মুই ফিরি আসিম,I will be back.,Rangpur
বাইরে আন্দার হইয়া গেছে,It’s dark in the outside .,Barisal
তুমি কি বই ফড়তি পছন্দ অরো,Do you like reading books?,Narail
অয় মেলা মিশুক,He is very sociable.,Rangpur
তুমি হাইঙ্গো সোমায় অজুহাত দ্যাও,You always make excuses.,Barisal
তুমি কি অন্য ভাষা শিখতে চাইছো,Do you want to learn another language?,Narail
তুই এখন হেনে হানে ঘুরে বেড়াস কেন,Why do you roam around so much?,Khulna
এতে কে কি বলে সেটা মোর দেখার বিষয় না,It’s not my concern what anyone says about it.,Narail
এহুনি ভালোভাবে দাড়াও,Stand up properly now.,Narail
তুমার কি কোনো শখ আছে,Do you have any hobbies?,Narail
ঝাল না পারলে খাবি কেমনে,How will you eat if the curry isn’t spicy enough?,Rangpur
চমৎকার,Awesome!,Barisal
একটু সুস্বাদু রান্না করো,Cook something delicious.,Narail
তুই সত্যি বিশেষ,You are truly special.,Rangpur
এইহানে ঢং হরতে আইছে,Are you coming here to make a noise?,Barisal
জীবনের গল্প কইলাম,I told the story of my life.,Narail
আমরা দেই শুনি বেলাতে পারি,"If you had told me, I would’ve known a bit.",Khulna
দয়া করি তাড়াতাড়ি আইসেন,Please come quickly.,Rangpur
তুমার ফছন্দের ফল কি,What’s your favorite fruit?,Narail
তোরে কইলাম না সময় নাই,"Didn’t I tell you, I don’t have time!",Khulna
হ্যার লইগ্গা উপহারডা কেনো,Buy her a gift.,Barisal
আমি আজকে মেলা ক্লান্ত,I’m very tired today.,Narail
এগুলা ল্যাখতে যাইয়া নিজেই ভুইল্লা গেছি,I forgot myself while writing them,Barisal
আমি এই প্রস্তাবটি নিতে চাই,I would like to take this offer.,Narail
কি চমোতকার সইন্দা,What a great evening!,Rangpur
তুই কি খাঁ শেষ করছিস,Have you finished eating,Khulna
আল্লার ওয়াস্তে এইহানে খারাও,Please stand here.,Barisal
বাজারে দাম কমেছিলো,The price in the market had decreased.,Narail
তুই আবার কিতা করতাছস,What are you doing again?,Khulna
একটু সাবধানে থাইক্কো,Be careful.,Barisal
মুই ফিরে আয়মু,I'll come back.,Narail
তোমার পড়ার জায়গাডা পরিষ্কার করো,Clean your study area.,Khulna
সে আমার প্রিয় বন্ধু,He’s my best friend.,Khulna
তুমি কি মোরে চেনতে হারছো,do you recognize me,Barisal
কাইলক যামু বাজারে,Tomorrow I will go to the market.,Rangpur
আন্দাজি কে কয়ছে তোকে,Guess! Who told you?,Narail
তোমাগো কমেন্ট পইর্রা মুই আ্যাকছের মজা পাইছি,I enjoyed reading your comments,Barisal
ওয় সোকসময় হাসিমুকোত থাকে,He is always smiling.,Rangpur
আরে একি শুনলাম,"Hey, I just heard!",Khulna
তুই সোকসময় অজুহাত দেইস,You always make excuses.,Rangpur
মোগো শহরডা আ্যাকছের বড়,Our city is very big.,Barisal
এইডা করতে গেলে সময় লাগবো,Doing this will take time.,Khulna
আমার নতুন বইডা মেলা মজার,My new book is very interesting.,Narail
তুমি আ্যাকছের ন্যায়পরায়ন,You are very fair.,Barisal
মোর পরিবারে মুই মা আব্বা আর এউক্কা ছোডো বুইন,"In my family: me, mother, father, and one younger sister.",Barisal
এইডে আমার পিয় খাবার,This is my favorite food.,Narail
তুমি কনে কাজ অরো,Where do you work?,Narail
আমি আজগে অনেক ক্লান্ত,I am very tired today.,Khulna
তুই সোগসমায় সইত্য কথা হইশ,You always speak the truth.,Rangpur
হামা এক সাথে কাজ করি,We work together.,Rangpur
আমাগো ঘরের সামনে ডোবা আছে,"In front of our house, there’s a swamp!",Khulna
কি করে বুঝতে হবে,How should I understand?,Khulna
আমি তো আগেই কইছিলাম,I already said it.,Narail
ওই হোটেলের রান্না খুব মজা,The food at this restaurant is very delicious.,Rangpur
তোমরা সবাই কেমন আছেন,How are you all?,Rangpur
তুই কি গান গাবার ভালোবাসিশ,Do you love to sing?,Rangpur
মুই কিছু না কং,I don't say anything.,Rangpur
তুমার পিয় গান গাও,Sing your favorite song.,Narail
সময় মতো আসিশ,Come on time.,Rangpur
মোক একনা ক তো,Tell me something!,Rangpur
গরমে পান্তা খাওন লাগবে,"In summer, you need to eat panta",Barisal
শালিক ডাকতাছে আম গাছে,The myna bird is calling from the mango tree!,Rangpur
তোমরা কি বাড়ির কাজ কাম পছন্দ করেন,Do you like doing household work?,Rangpur
মুরুব্বীর ঘর কয় ছাওয়া পোয়াক বেশী নেকাপড়া করা ভালো নোমায়,The elders say that it is not good to give too much education to a son.,Rangpur
আন্দাজি একটা কথা কলু আর হবে নাকি,You can’t just throw out a random guess like that!,Rangpur
মুই কি আপনাকে কিছু জানতে পারি,Can I ask you something?,Narail
ওড়া আমার চোখের ভুল,I thought my eyes were deceiving me!,Khulna
বাবা বার্তে নাই,Father is not at home,Barisal
দেখতো ঘড়িতে কয়ডা বাজে,See what time it is on the clock.,Narail
শুদ্ধ করে কথা বলা লাগতিসে,You need to speak properly.,Narail
তোরা সবাই ভালো আছিস,Are you all fine?,Khulna
ওমা বুঝির পায়ছেনা,She didn’t understand.,Rangpur
আজগে বাজারে ভিড় বেশি,The market is too crowded today!,Khulna
দয়া করি মুই কি তোমার সাহায্য করবের পাঙ,"Can I help you, please?",Rangpur
মুই হনু আসল অম্পুইরা,I am the real Rangpuri.,Rangpur
সেইডা ঠিক কাম হইলো না,That wasn’t the right thing to do.,Khulna
তুই সবার সাথে খুব ভালো ব্যবহার করিস,You treat everyone very well.,Rangpur
কি দারুণ বেড়ানী,What a wonderful journey!,Khulna
দয়া হইর্রা একটু চোপো,Please shut up.,Barisal
খুব ভালো লাগেনি,I didn’t like it much.,Khulna
তুমি হগল সোমায় হক্কলডির লইগ্গা ভাবো,You always think for everyone.,Barisal
আইজ আর কাম হরতে মোল্লায় না,I don't want to work today.,Barisal
মোরে একটা ব্যাবার হিসেবে এউগ্গা দেন,Give me this as a gift.,Barisal
নিরাপত্তা অফিসার সম্ভাব্য অনুপ্রবেশকারীদের ঠেকাতে চত্বরে টহল দেন,Security officers patrol the premises to deter potential intruders.,Narail
তুই কি বায়রি বেরাতি জাইস,Do you like to go outside?,Khulna
বাড়ির কামগুলো শেষ করো,Finish the housework.,Narail
মোর লইগ্গা এডা ঠিক না,It's not right for me.,Barisal
মুই হপ্পন দ্যাখতাছি তো,I'm not dreaming!,Barisal
তুই বেশি চালাকি করিস না,Don’t act too clever.,Khulna
তুই নাঈমের দুয়ারে গেছিলির,You went to Naeem's door.,Narail
তুমি দুফুরে খাইছেলা,Did you eat lunch?,Barisal
আম্মের অভিজ্ঞতা শেয়ার হরেন দয়া হইর্রা,"Share your experience, please.",Barisal
হামার ভাষা হামার গর্ব,Our language is our pride.,Rangpur
তুমি কি ঠিকঠাক বাইলে খাওন দাওন হরছো,Are you eating and drinking properly?,Barisal
পোর্টফোলিও তৈরি করলাম,.I created a portfolio.,Narail
তোমার লইগ্যা মোর আ্যাকছের সোম্মান,I have a lot of respect for you.,Barisal
নিন থাকি উটিনুং দেখোচং দেওয়াটার না কেনেবা ঝড়ি পরেছে,I woke up and saw that it was raining from the sky,Rangpur
আমার কিছুই ভালো লেগদী না,Nothing feels good.,Khulna
তুমি আইচকে ইস্কুলি আসোনাই কেন,Why didn’t you come to school today?,Narail
এটা খুবে বিরক্তিকর,This is very annoying.,Rangpur
রাজনীতিতে আগ্রহী ছিলাম,I was interested in politics.,Narail
হায় কতো বড় ভুল করছুং,Oh! What a big mistake I made!,Rangpur
মুই গেই নু,I didn’t go.,Rangpur
তরতরি কাম শ্যাষ হইররো,Finish the job quickly.,Barisal
আমার বাবা একজন ডাকথার,My father is a doctor.,Narail
পোলাডা কি করতাছে দেখছস,Do you see what the boy is doing?,Khulna
তুই মোক ফাসে দিলু,You have trapped me.,Rangpur
মুই জানি তুই আইছো,I know you came.,Barisal
কচুয়ের বিলের পদ্মফুল তুলি দিছলু,You picked a lotus from the kachu pond.,Rangpur
মোর বেইন্নাহালে উইঠাই চা খাওনের অভ্যাস,I have a habit of drinking tea in the morning.,Barisal
এই বইটা থেকে মেলা কিছু শিখা যাইবে,This book is very educational.,Rangpur
তুমি মোর জীবনের এউক্কা মূল্যবান অংশ,You are an important part of my life.,Barisal
তুমি কি গাড়ি চালাতি ফারো,Can you drive a car?,Narail
মাঝে মাঝে মোর লগে আপনি কথা বলিয়েন,Sometimes you talk with me.,Narail
আইচকে মেলা বিষ্টি হচ্চে,It’s raining a lot today.,Narail
আমি আর অপেক্ষা করতি পারতি নে,I can’t wait anymore.,Khulna
রাইত পোয়াইলে আসিষ একটে কোনা যামো,"Come early in the morning, we will go somewhere",Rangpur
ভান্ডো বাডি য্যা আছেলে বেবাক পাক্কাইয়া হালাইলো,Hari Patil threw everything that was there,Barisal
আমি এই গানডা শুনতে ভালোবাসি,I love listening to this song.,Khulna
তুমি কি ফুরন ফিল্ম দেখতি ভালোবাসো,Do you love watching old films?,Narail
মুই তোমার লইগ্যা দোয়া হরি হগল সোমায়,I pray for you always.,Barisal
যাদের হাত ধরে মুই এতটা পথ পাড়ি দিয়েছি,Whose hands have held me this far?,Narail
চোপো,keep quiet,Barisal
তুমি কি নুতান হইর্রা চেষ্টা হরতে চাও,Do you want to try something new?,Barisal
বাসায় ট্যাহা পাঠাইতে হবে কাল,I have to send money home tomorrow.,Narail
তোদের বাসা থেকে স্কুল কত দূরে,How far is the school from your house?,Narail
নুরুল মোমেনের নাটক আলো ছায়া হের নির্দেশনায় দারুণ জনপ্রিয়তা পায়,Nurul Momen's play Alo Chhaya became very popular under the direction of Her.,Narail
এহোনি আইতে আছি,coming right away,Barisal
তাইলে কি হবে,So what will happen?,Narail
আমার জন্যি এট্টা কাপ চা আনো,Bring me a cup of tea.,Narail
তুমি কি খেলতি চাও,Do you want to play?,Narail
মোগো দ্যাশে আ্যাকছের ঐতিহ্যের জায়গা আছে,There are many heritage sites in our country.,Barisal
বেশি প্যানাবা না,Don’t panic too much.,Barisal
এলা অ্যালা কাজ শুরু কর,Start working now.,Rangpur
মুই রেগুলার পড়ালেহা হরি,I study regularly.,Barisal
আমার কিছু কভার নেই,I don’t have anything to say,Khulna
তোর বইডা আমার লাগবো,I need your book!,Khulna
রং লাগসে এহন,I feel nostalgic now.,Narail
তুমি আ্যাকছের ভালো হোনো,You are a very good listener.,Barisal
দ্রুত কাম শেষ করো,Finish the job quickly.,Narail
তুমার ফছন্দের রেস্টুরেন্ট কোনডা,Which is your favorite restaurant?,Narail
এহানে আর থাকতে মোল্লায় না,I don't want to stay here anymore.,Barisal
কোম্মে মোরা কইতে চাইতাছি রোংপুইর্রা ভাষা,Where we want to say Rangpuri language,Barisal
তুই কোনোবেলাত সাহায্য করিস না,You never help.,Rangpur
তোমার কি কুনো কাজে সাইজ্য লাগবে,Do you need help with any work?,Khulna
ফিকির কইরো না সব ঠিক হবে,Don’t worry; everything will be fine.,Rangpur
মুই প্রতিদিন পইরবার বৈষং,I study regularly.,Rangpur
এই পড়াডা আজকের মধ্যে শেষ কর,Finish this lesson today.,Khulna
তুমি আইজগো ইস্কুলে আওনাই ক্যা,Why didn't you come to school today?,Barisal
মাইয়্যার হাঁড়ি ভাঙল কেডা,Who broke the girl’s secrets?,Rangpur
তুই কি ঘুরতি যার জন্যি তৈরী,Are you ready to go on a trip?,Khulna
ওমরা খুব ভাল মাস্টোর,He is a very good teacher.,Rangpur
দয়া করে এটি মোরে দিয়ে দিন,Please give this to me.,Narail
হামা একসাথে খাবার যাইছি,We have gone to eat together.,Rangpur
এ রাস্তা কোনা চেনল না,I don't know this road.,Rangpur
মোর লগে একটু আও,come with me,Barisal
মোর লইগ্গা একটু জায়গা বরাদ্দ হরেন,Make some space for me.,Barisal
আমি ঘুমাইতে যাইতাছি,I am going to sleep.,Narail
হে মোরে এউক্কা গপ্পো কইছেলে,He told me a story.,Barisal
মোর জন্যে একনা দয়া করেন,Please have mercy on me.,Rangpur
পোলাডা খুব চালাক হইছে,The boy has become very clever!,Khulna
তুই রান্নাডা ঠিকমতো শিখছস নাই,You haven’t learned cooking properly.,Khulna
কিরে বইসা বইসা ঘুমাইস নাকি,"Hey, sitting, sitting, did you sleep?",Khulna
এটা আসলেই খারাপ নাগার মতো,This is really disappointing.,Rangpur
হেয় উইঠ্যা খারাইছে,It’s ruined while standing.,Barisal
মোরে আম্মের বইউগ্গা ধার দ্যান,lend me your book,Barisal
ধোনির ছেলে তুমি,You are from a rich famiy,Khulna
এবার আসি একান্তই মোর নিজস্ব কিছু কথায়,Now let me come to some of my own words.,Narail
ভাষাডা মোগো প্রাণের,Language is our soul,Barisal
মনে করে দেখোতো,Think carefully.,Khulna
ওয়েবসাইটে খবর পড়তেছিলা,I was reading the news on the website.,Narail
মোরে কিছু কোও,Give me something.,Narail
শুক্কুরবার মোরা গেলাম,We went on Friday.,Barisal
তোক মেলা ভালবাসোং,I love you so much.,Rangpur
আইজগো দিনডা আ্যাকছের ভালো আছেলে,Today was a very good day.,Barisal
সে তার লক্ষ্য অর্জনের জন্য অনেক কঠিন পরিশ্রম করিছে,He worked very hard to achieve his goal.,Khulna
মুই কিছুই জানো না,I don’t know anything!,Rangpur
কতায় কতায় ইংলিশ ফুডাইবে এইয়া তো মোগো সহ্য হইতেছে না,The English will say in front of us - we will not tolerate it.,Barisal
মুই সোগাকে চিনি ফেলাচুং,I have recognized everyone.,Rangpur
ভাইয়া আইজকে বাসায় আছে,Brother  is at home today,Narail
বাড়ির কামগুলা শ্যাষ কর,Finish your homework.,Rangpur
এলাও মাজে মদ্দে তোর কতা মনে পড়ে,I still think of you sometimes.,Rangpur
থোতমায় হাসি রাইক্কো,Keep a smile on your face.,Barisal
এহনকার উঠতি পোলাপান আ্যাকছের প্রতিভাবান,Today's youth are very talented.,Barisal
সে স্কলার ছিলো,He was a scholar.,Narail
মুই কেলান্তো আর কিছু করবের পাইম না,"I'm tired, I can't do anything else.",Rangpur
তুই মোবাইলডা রাখস কই,Where did you keep the phone?,Khulna
তুই মন দিয়ে শোন,Listen carefully.,Narail
আম্মের হাইতদ্দা একটু উপহার পামু,Receive a little gift from your hand?,Barisal
আইজ দুফারে মোগো দাওয়াত আছে,We have a lunch invitation today.,Barisal
হে হগল সোমায় সয়ত্য কতা কয়,He always speaks the truth.,Barisal
বসো হবাই,Sit everyone,Narail
টংগের উপরত বসি,Sitting on the floor,Rangpur
মুই উরুম খামু,I’ll eat urum.,Barisal
তোমার পছন্দের জিনিসগুলা দ্যাহাইয়ো,Show your favorite things.,Barisal
মোরে সাহায্য হরার লইগ্গা আম্মেরে ধইন্যোবাদ,Thank you for helping me.,Barisal
হিদলা সাম্মে সাবধান থাহ,"Be careful, don’t panic.",Barisal
তুই এত খাইস ক্যারে পেট ফাইটা যাইবো,"Why are you eating so much, your stomach will burst!",Khulna
তুমি কি ফুরনো সিনেমা পছন্দ অরো,Do you like old movies?,Narail
আপনার কমফোর্ট জোন থেকে বারহোয়ে আসুন,Come to Barhoe from your comfort zone.,Narail
মাইয়্যা ডাকতাছেন যাও,The girl is calling; go!,Rangpur
কি ইংরেজি শিকতি,Do you want to learn English?,Khulna
তোর জন্য হামলা গর্বিত,I am proud of you.,Rangpur
মোর কইতর ভালা লাগে,I like pigeon.,Barisal
দয়া হইররা একটু মোনোযোগ দ্যাও,Please pay attention.,Barisal
মোক কয়টা টাকা মোবাইলোত ভরে দিস তো,"Send me some money on my mobile, will you?",Rangpur
থেকে প্রশ্ন কোনার উত্তর জানিস,Do you know the answer to this question?,Rangpur
তোমার পছন্দের গান কোনডা,What is your favorite song?,Barisal
তোর পছন্দের গান কি,What is your favorite song?,Khulna
চাইট্টা ভাত খাইয়া শুতলুং কেবল,I just ate a little rice and slept.,Rangpur
হেতো প্রেত্যেক সকালে হাডে,He walks every morning.,Barisal
রিফাত তুই কোয়ান্নে ঘুমাইবি রাতে,"Rifat, where will you sleep at night?",Narail
মুই ফিররা আমু আনে,i will be back,Barisal
ওয় মোর ভাল শোংরা,He is my dear friend.,Rangpur
তুই যাবি কোয়ানে,where will you go,Narail
তুই প্রতিদিন নতুন কিছু শিখছিশ,You learn something new every day.,Rangpur
তোর লগে একটু কতা আছে,I need to talk to you!,Khulna
তোর লুঙ্গিডা ঠিকমতো পরস,Wear your lungi properly!,Khulna
আইজগো আবাওহা আ্যাকছের সুন্দার,Today's weather is very nice.,Barisal
মোর সাথে আয়,Come with me.,Rangpur
মুই একনা রেস্ট নিবার চাম,I want to rest a little.,Rangpur
আমাকে কি এট্টু জাগা দেখাবেন,Will you show me some place?,Khulna
তুই একজন ভালো বন্ধু,You are a good friend.,Rangpur
হ মুই বিদেশ যাবার চাম,"Yes, I want to go abroad.",Rangpur
তুই সোক সময় আশা করিস,You are always optimistic.,Rangpur
আইজকের বেলাটা মেলা সুন্দর,Today’s weather is very beautiful.,Rangpur
তুমি কি গান গাতি ভালোবাসো,Do you love singing?,Narail
আহা কি মিষ্টি,Oh! How sweet!,Narail
তোমরা কি নয়া জিনিস শিখতে পছন্দ করেন,Do you like learning new things?,Rangpur
তুমি মানুডা দায়িত্বশীল,You are a responsible person.,Barisal
হালকা বাতাস দিতাছে,A light breeze is blowing!,Khulna
তুই এতো রাগী ক্যান ভাই,"Why are you so angry, brother?",Narail
তুই কি প্রযুক্তিত আগ্রহী,Are you interested in technology?,Rangpur
আমি একটু বুঝেশুনে সারাজীবন রংপুরের বাসায় কথা বলবো,I will live my whole life speaking Rangpuri properly.,Khulna
হামার শুলি বাড়ি দিয়া হাটিবু না,"Don’t walk down our lane.""",Rangpur
ইয়াও কইম কয়ায় নাগবে,"I'll say this, it has to be said.",Rangpur
তোমরা কি খাইবেন,What will you eat?,Rangpur
দাদুর গল্প কওয়াটা আমার অনেক ভালো লাগে,I really like listening stories from grandfather.,Narail
সউক ক্যানেবা উল্টা পাল্টা হওয়ার নাগছে,I know why everything seems to be upside down.,Rangpur
ক্যামন আছিত,How have you been?,Rangpur
ছেলেটা খুব ডর পাইছে রে,The boy is very scared.,Narail
হের জন্য রাস্তাগুলায় এত ক্যাদা হইলো,"Because of him, the roads have so much mud.",Narail
বুকের মধ্যে কেম্মা কেম্মা লাগছে,I feel a lump in my chest.,Narail
তুই কি কপি খাবার পাইস,Do you like coffee?,Rangpur
তুমি কহোনো সাহায্য হরো না,you never help,Barisal
কি চমৎকার সন্ধ্যা,What a great evening!,Barisal
মোরেইদ্দা পইর্রা তোমারে চাপা শুনাইতে যায়,I am going to listen to you dialogue,Barisal
তোমার পছন্দের খাবার কি,What is your favorite food?,Rangpur
মুখ একনা সাহায্য কর,Help me a little.,Rangpur
তোমরা আবার ঢাকায় থাকো,You all live in Dhaka again.,Narail
এহানে আসো,Come here.,Narail
পরিচয়পত্র ডিজিটাল করলাম,I digitized my identity card.,Narail
সামান্য চা বানাও,make some tea,Barisal
বিদ্যুৎ চমকিয়ে ঠাটা পরছিলো,The lightning struck.,Narail
তোমরা কি আইজকে বাইরোত যাইবেন,Are you going outside today?,Rangpur
তোমার কামের ধরন অনেকের ভাল্লাগে,Your style of work is very likeable.,Barisal
আহা মুই ত সেই,Oh! I'm so strange!,Rangpur
সে খুব ভালো ছবি আকে,He draws very good pictures.,Khulna
মোর নুতান বইগ্যা আ্যাকছের হাসুইন্না,My new book is very interesting.,Barisal
আইজগো অনেক কাম আছে,There is a lot of work today.,Barisal
আসিয়ানে আমাগে বাড়ি,Come to our home.,Khulna
বাবর মুঘল সাম্রাজ্যের প্রতিষ্ঠা করেন,Babur founded the Mughal Empire.,Narail
মোর অনেক ভাল্লাগিল,I really enjoyed it.,Rangpur
তোর মাও ঢেলাইছে,Your mother has poured it.,Rangpur
এইডা কার লগে কইছিলি,Who did you tell this to?,Khulna
কালকের সকালে আমি রংপুর যাব,Tomorrow morning I’ll go to Rangpur.,Khulna
ধ্যাই ভালে নাগেছে না,That curry didn’t taste good.,Rangpur
হ ঠিক আাছে,"Yeah, okay",Barisal
আজি মুই হাফসি গেছুং,Today I am tired.,Rangpur
নিজের কাম শ্যাষ কর,Finish your work.,Rangpur
তোর ব্যক্তিত্ব অনেক শক্তিশালী,Your personality is very strong.,Khulna
বন্ধু চলেক কোথা ঘুরে আসি,"Come on, friend, where should we go?",Narail
এতে কেডা কি কুলো সেটা আমার দেখার বিষয় না,What others say is not my concern.,Khulna
আইজ হামার কটকটি ফুরি গেইছে,Our cut is over today.,Rangpur
আমি এই ছুটিতে পরিবারের সাথে ঘুরতে গ্যাছিলাম,I went on a trip with my family this holiday.,Narail
মোরে সোমায় জানাইয়ো,Let me know in time.,Barisal
এ্যাকনা মাইনসের দুই কন্যা ব্যাটা আছিল,"Currently, there were two sons and a daughter in the family.",Rangpur
হামাক একনা চা দেন বাহে৷,Can you give me a cup of tea?,Rangpur
হাসতে পারতেসিনা,I can’t laugh.,Narail
তোর কি লাগবে,What do you need?,Rangpur
দয়া কুরি এইডা আরাকবার কবেন,Could you please say that again,Khulna
মোক একটা উপহার হিসাবে এইটা দেন,Give it to me as a gift.,Rangpur
তুমি হগলসোমায় ভুল হরো,You always make mistakes.,Barisal
এম্মে থাহিস,stay here,Barisal
তুমি তো কইছিলা,You said it.,Barisal
পেজটা উল্টাও,Turn the page.,Rangpur
তোমায় না মাইরি ভাত খাব না,"Without you, I swear, I won’t eat rice.",Khulna
ওয়ার্কআউটের সময় গভীরভাবে শ্বাস নিন,Breathe deeply during workouts.,Narail
মোগোরে আর কি শেখাবা তোমরা,What else will you teach us?,Barisal
মনে করিস না ভুলে গিয়ইছোং,Don't think I forgot.,Rangpur
এডা ঠিক হুলো না,This isn’t right.,Khulna
তোমার লইগ্যা অপেক্ষা হরতাছি,waiting for you,Barisal
লোকটা মোকে দুই চোকে দেকপ্যার না পায়,He hates me with all his heart,Rangpur
তুমি কোন ইস্কুলে পড়ো,What school do you go to?,Barisal
তোমার নাহান মোনোযোগ খুব কম মাইনসের আছে,There are very few people as attentive as you.,Barisal
তুই রাগলে কথা কইস না,You don’t talk when angry.,Khulna
ভালোকুরি শিখতি থাক,Keep learning well.,Khulna
তুমি কি ইংরাজি হেকছো,are you learning english,Barisal
